Type,Alterations,Description,Examples
Accompaniment,B+N+Sh+So,"The song is an accompaniment in a movie/tv show scene or a video by a social media influencer. Thus, it is expected to be in the background and mixed with non-music noise. Additionally, it might be shingled and there might be other songs contained.","Kayaking video with ``Radioactive’’ by Imagine Dragons: https://www.youtube.com/watch?v=Wh8Bgp7bO3I, a scene from the movie ``Cocktail’’ with the song `Àddicted to Love’’: https://www.youtube.com/watch?v=EFuBvEt84OI"
Cover (Amateur) ,F+Tb+N+Sh,"The song is covered by an amateur and typically the audio recorded with a camera. Thus, low fidelity is expected with potential timbre changes and non-music noise. Some covers only refer to sections (eg. guitar solos).",Vocal cover by ``I don’t wanna miss a thing’’ https://www.youtube.com/watch?v=wTLjssYFXBQ
Cover (Studio) ,Pitch+Rhythmic,"In case of professionally recorded covers in studios, most artists exhibit alterations in pitch- and rhythmic regards. ",A cover by ``Smells like teen spirit’’ https://www.youtube.com/watch?v=6wLZhNoYY_c 
Drum-Only ,All in Pitch,"Only the drum track of the song, therefore harmony and melody are not contained and timbre is changed strongly.",`M̀y generation’’ drum tutorial https://www.youtube.com/watch?v=nUw8MpJBy3k 
Single-Harmonic,Tm+Tb,"One harmonic instrument only (eg. piano, guitar). This can either be associated with a recording or automatically generated (eg. piano roll).",generated piano for ``She came through the bathroom window’’ https://www.youtube.com/watch?v=m9fWu0TJuaM
Instrumental ,M+Tb,The vocal track is dropped in the song. This typically accounts for karaoke versions.,reaction to an instrumental cover of `M̀y hear will go on’’ https://www.youtube.com/watch?v=72fTwwijaZw 
Live (Audience) ,B+F+Sh,A live performance recorded from the audience. ,"``Enter sandman’’ live after a football match filmed from audience: https://www.youtube.com/watch?v=uZgyjmtYevM , Ariana Grande live from the audience: https://www.youtube.com/watch?v=girdko2YOjQ "
Live (Broadcast) ,N+So,A professionally recorded live performance.,Jimi Hendrix performing ``Johnny B. Goode’’ https://www.youtube.com/watch?v=ss_rk-RITts 
Mashup/Remix ,Sh+So+B,A song which contains samples from the query song. The samples might be whole sections (typically the chorus) or just very short melodic lines.,Remix of ``Let’s get it on’’ https://www.youtube.com/watch?v=pxAamoB0c0A 
Medley,Sh+So,A song which contains (typically sections of) multiple songs. One of the songs is (a section of) the query song.,Medley containing ``Can’t get next to you’’ https://www.youtube.com/watch?v=tA7iy_-ZdkY 
Reaction/Analysis ,N,"A video in which the someone consumes the query song along with comments and potential analysis. Thus, non-music noise is expected.","Reaction to an instrumental cover of ``My hear will go on’’ https://www.youtube.com/watch?v=72fTwwijaZw , reaction to Lionel Richie and Kenny Rogers https://www.youtube.com/watch?v=lZaTGPjaoE4 "
Tutorial ,N+SH+Tb,"A video in which the uploader instructs about how to play, sing or mix the query song. Hence, non-music noise is expected and sometimes only sections might be contained. ",M̀y generation’’ drum tutorial https://www.youtube.com/watch?v=nUw8MpJBy3k 
Tribute ,So+N,A video containing multiple songs of the same artist or same genre as the query song.,
Vocal-Only,Tb+ K+ Tp+ Tm,Only the vocal stem of the query song. Either isolated automatically by sound source seperation or an acapella cover.,Isolated vocals ``God only knows’’ https://www.youtube.com/watch?v=Fd9446M-ASc 
